endpoint1,endpoint2,step,time_index,time,formant,frequency
reason_1,risen_1,1,1,0.033,1,340
reason_1,risen_1,1,1,0.033,2,1197
reason_1,risen_1,1,1,0.033,3,2646
reason_1,risen_1,1,2,0.041,1,340
reason_1,risen_1,1,2,0.041,2,1204
reason_1,risen_1,1,2,0.041,3,2646
reason_1,risen_1,1,3,0.05,1,350
reason_1,risen_1,1,3,0.05,2,1322
reason_1,risen_1,1,3,0.05,3,2653
reason_1,risen_1,1,4,0.058,1,361
reason_1,risen_1,1,4,0.058,2,1480
reason_1,risen_1,1,4,0.058,3,2685
reason_1,risen_1,1,5,0.066,1,364
reason_1,risen_1,1,5,0.066,2,1638
reason_1,risen_1,1,5,0.066,3,2749
reason_1,risen_1,1,6,0.074,1,366
reason_1,risen_1,1,6,0.074,2,1846
reason_1,risen_1,1,6,0.074,3,2802
reason_1,risen_1,1,7,0.083,1,366
reason_1,risen_1,1,7,0.083,2,2117
reason_1,risen_1,1,7,0.083,3,2854
reason_1,risen_1,1,8,0.091,1,365
reason_1,risen_1,1,8,0.091,2,2332
reason_1,risen_1,1,8,0.091,3,2898
reason_1,risen_1,1,9,0.099,1,363
reason_1,risen_1,1,9,0.099,2,2493
reason_1,risen_1,1,9,0.099,3,2949
reason_1,risen_1,1,10,0.107,1,362
reason_1,risen_1,1,10,0.107,2,2616
reason_1,risen_1,1,10,0.107,3,3016
reason_1,risen_1,1,11,0.116,1,360
reason_1,risen_1,1,11,0.116,2,2710
reason_1,risen_1,1,11,0.116,3,3083
reason_1,risen_1,1,12,0.124,1,359
reason_1,risen_1,1,12,0.124,2,2822
reason_1,risen_1,1,12,0.124,3,3110
reason_1,risen_1,1,13,0.132,1,361
reason_1,risen_1,1,13,0.132,2,2908
reason_1,risen_1,1,13,0.132,3,3241
reason_1,risen_1,1,14,0.14,1,362
reason_1,risen_1,1,14,0.14,2,2939
reason_1,risen_1,1,14,0.14,3,3320
reason_1,risen_1,1,15,0.149,1,364
reason_1,risen_1,1,15,0.149,2,2932
reason_1,risen_1,1,15,0.149,3,3328
reason_1,risen_1,1,16,0.157,1,366
reason_1,risen_1,1,16,0.157,2,2899
reason_1,risen_1,1,16,0.157,3,3301
reason_1,risen_1,1,17,0.165,1,368
reason_1,risen_1,1,17,0.165,2,2859
reason_1,risen_1,1,17,0.165,3,3318
reason_1,risen_1,1,18,0.173,1,372
reason_1,risen_1,1,18,0.173,2,2838
reason_1,risen_1,1,18,0.173,3,3326
reason_1,risen_1,1,19,0.182,1,378
reason_1,risen_1,1,19,0.182,2,2832
reason_1,risen_1,1,19,0.182,3,3324
reason_1,risen_1,1,20,0.19,1,385
reason_1,risen_1,1,20,0.19,2,2828
reason_1,risen_1,1,20,0.19,3,3299
reason_1,risen_1,1,21,0.198,1,393
reason_1,risen_1,1,21,0.198,2,2815
reason_1,risen_1,1,21,0.198,3,3273
reason_1,risen_1,1,22,0.206,1,401
reason_1,risen_1,1,22,0.206,2,2778
reason_1,risen_1,1,22,0.206,3,3257
reason_1,risen_1,1,23,0.215,1,408
reason_1,risen_1,1,23,0.215,2,2701
reason_1,risen_1,1,23,0.215,3,3240
reason_1,risen_1,1,24,0.223,1,414
reason_1,risen_1,1,24,0.223,2,2634
reason_1,risen_1,1,24,0.223,3,3243
reason_1,risen_1,1,25,0.231,1,416
reason_1,risen_1,1,25,0.231,2,2530
reason_1,risen_1,1,25,0.231,3,3230
reason_1,risen_1,1,26,0.239,1,415
reason_1,risen_1,1,26,0.239,2,2424
reason_1,risen_1,1,26,0.239,3,3212
reason_1,risen_1,1,27,0.248,1,409
reason_1,risen_1,1,27,0.248,2,2320
reason_1,risen_1,1,27,0.248,3,3194
reason_1,risen_1,1,28,0.256,1,395
reason_1,risen_1,1,28,0.256,2,2228
reason_1,risen_1,1,28,0.256,3,3182
reason_1,risen_1,1,29,0.264,1,376
reason_1,risen_1,1,29,0.264,2,2193
reason_1,risen_1,1,29,0.264,3,3197
reason_1,risen_1,1,30,0.272,1,371
reason_1,risen_1,1,30,0.272,2,2187
reason_1,risen_1,1,30,0.272,3,3200
reason_1,risen_1,2,1,0.033,1,343
reason_1,risen_1,2,1,0.033,2,1234
reason_1,risen_1,2,1,0.033,3,2578
reason_1,risen_1,2,2,0.041,1,344
reason_1,risen_1,2,2,0.041,2,1240
reason_1,risen_1,2,2,0.041,3,2580
reason_1,risen_1,2,3,0.05,1,355
reason_1,risen_1,2,3,0.05,2,1343
reason_1,risen_1,2,3,0.05,3,2600
reason_1,risen_1,2,4,0.058,1,365
reason_1,risen_1,2,4,0.058,2,1489
reason_1,risen_1,2,4,0.058,3,2647
reason_1,risen_1,2,5,0.066,1,368
reason_1,risen_1,2,5,0.066,2,1640
reason_1,risen_1,2,5,0.066,3,2715
reason_1,risen_1,2,6,0.074,1,371
reason_1,risen_1,2,6,0.074,2,1832
reason_1,risen_1,2,6,0.074,3,2767
reason_1,risen_1,2,7,0.083,1,372
reason_1,risen_1,2,7,0.083,2,2077
reason_1,risen_1,2,7,0.083,3,2819
reason_1,risen_1,2,8,0.091,1,373
reason_1,risen_1,2,8,0.091,2,2280
reason_1,risen_1,2,8,0.091,3,2868
reason_1,risen_1,2,9,0.099,1,373
reason_1,risen_1,2,9,0.099,2,2422
reason_1,risen_1,2,9,0.099,3,2923
reason_1,risen_1,2,10,0.107,1,373
reason_1,risen_1,2,10,0.107,2,2526
reason_1,risen_1,2,10,0.107,3,2987
reason_1,risen_1,2,11,0.116,1,372
reason_1,risen_1,2,11,0.116,2,2602
reason_1,risen_1,2,11,0.116,3,3051
reason_1,risen_1,2,12,0.124,1,373
reason_1,risen_1,2,12,0.124,2,2692
reason_1,risen_1,2,12,0.124,3,3081
reason_1,risen_1,2,13,0.132,1,375
reason_1,risen_1,2,13,0.132,2,2760
reason_1,risen_1,2,13,0.132,3,3196
reason_1,risen_1,2,14,0.14,1,377
reason_1,risen_1,2,14,0.14,2,2781
reason_1,risen_1,2,14,0.14,3,3266
reason_1,risen_1,2,15,0.149,1,379
reason_1,risen_1,2,15,0.149,2,2779
reason_1,risen_1,2,15,0.149,3,3274
reason_1,risen_1,2,16,0.157,1,382
reason_1,risen_1,2,16,0.157,2,2757
reason_1,risen_1,2,16,0.157,3,3247
reason_1,risen_1,2,17,0.165,1,384
reason_1,risen_1,2,17,0.165,2,2725
reason_1,risen_1,2,17,0.165,3,3256
reason_1,risen_1,2,18,0.173,1,388
reason_1,risen_1,2,18,0.173,2,2706
reason_1,risen_1,2,18,0.173,3,3260
reason_1,risen_1,2,19,0.182,1,393
reason_1,risen_1,2,19,0.182,2,2698
reason_1,risen_1,2,19,0.182,3,3259
reason_1,risen_1,2,20,0.19,1,399
reason_1,risen_1,2,20,0.19,2,2698
reason_1,risen_1,2,20,0.19,3,3239
reason_1,risen_1,2,21,0.198,1,405
reason_1,risen_1,2,21,0.198,2,2686
reason_1,risen_1,2,21,0.198,3,3216
reason_1,risen_1,2,22,0.206,1,411
reason_1,risen_1,2,22,0.206,2,2651
reason_1,risen_1,2,22,0.206,3,3203
reason_1,risen_1,2,23,0.215,1,415
reason_1,risen_1,2,23,0.215,2,2586
reason_1,risen_1,2,23,0.215,3,3191
reason_1,risen_1,2,24,0.223,1,418
reason_1,risen_1,2,24,0.223,2,2527
reason_1,risen_1,2,24,0.223,3,3195
reason_1,risen_1,2,25,0.231,1,419
reason_1,risen_1,2,25,0.231,2,2438
reason_1,risen_1,2,25,0.231,3,3186
reason_1,risen_1,2,26,0.239,1,415
reason_1,risen_1,2,26,0.239,2,2349
reason_1,risen_1,2,26,0.239,3,3170
reason_1,risen_1,2,27,0.248,1,408
reason_1,risen_1,2,27,0.248,2,2263
reason_1,risen_1,2,27,0.248,3,3154
reason_1,risen_1,2,28,0.256,1,395
reason_1,risen_1,2,28,0.256,2,2188
reason_1,risen_1,2,28,0.256,3,3144
reason_1,risen_1,2,29,0.264,1,377
reason_1,risen_1,2,29,0.264,2,2163
reason_1,risen_1,2,29,0.264,3,3157
reason_1,risen_1,2,30,0.272,1,372
reason_1,risen_1,2,30,0.272,2,2163
reason_1,risen_1,2,30,0.272,3,3161
reason_1,risen_1,3,1,0.033,1,347
reason_1,risen_1,3,1,0.033,2,1271
reason_1,risen_1,3,1,0.033,3,2512
reason_1,risen_1,3,2,0.041,1,348
reason_1,risen_1,3,2,0.041,2,1277
reason_1,risen_1,3,2,0.041,3,2516
reason_1,risen_1,3,3,0.05,1,360
reason_1,risen_1,3,3,0.05,2,1365
reason_1,risen_1,3,3,0.05,3,2548
reason_1,risen_1,3,4,0.058,1,370
reason_1,risen_1,3,4,0.058,2,1498
reason_1,risen_1,3,4,0.058,3,2610
reason_1,risen_1,3,5,0.066,1,373
reason_1,risen_1,3,5,0.066,2,1642
reason_1,risen_1,3,5,0.066,3,2682
reason_1,risen_1,3,6,0.074,1,376
reason_1,risen_1,3,6,0.074,2,1819
reason_1,risen_1,3,6,0.074,3,2734
reason_1,risen_1,3,7,0.083,1,379
reason_1,risen_1,3,7,0.083,2,2037
reason_1,risen_1,3,7,0.083,3,2785
reason_1,risen_1,3,8,0.091,1,381
reason_1,risen_1,3,8,0.091,2,2230
reason_1,risen_1,3,8,0.091,3,2838
reason_1,risen_1,3,9,0.099,1,383
reason_1,risen_1,3,9,0.099,2,2353
reason_1,risen_1,3,9,0.099,3,2898
reason_1,risen_1,3,10,0.107,1,384
reason_1,risen_1,3,10,0.107,2,2440
reason_1,risen_1,3,10,0.107,3,2959
reason_1,risen_1,3,11,0.116,1,385
reason_1,risen_1,3,11,0.116,2,2500
reason_1,risen_1,3,11,0.116,3,3019
reason_1,risen_1,3,12,0.124,1,386
reason_1,risen_1,3,12,0.124,2,2568
reason_1,risen_1,3,12,0.124,3,3053
reason_1,risen_1,3,13,0.132,1,389
reason_1,risen_1,3,13,0.132,2,2621
reason_1,risen_1,3,13,0.132,3,3152
reason_1,risen_1,3,14,0.14,1,391
reason_1,risen_1,3,14,0.14,2,2634
reason_1,risen_1,3,14,0.14,3,3212
reason_1,risen_1,3,15,0.149,1,395
reason_1,risen_1,3,15,0.149,2,2636
reason_1,risen_1,3,15,0.149,3,3221
reason_1,risen_1,3,16,0.157,1,398
reason_1,risen_1,3,16,0.157,2,2623
reason_1,risen_1,3,16,0.157,3,3195
reason_1,risen_1,3,17,0.165,1,401
reason_1,risen_1,3,17,0.165,2,2598
reason_1,risen_1,3,17,0.165,3,3196
reason_1,risen_1,3,18,0.173,1,404
reason_1,risen_1,3,18,0.173,2,2580
reason_1,risen_1,3,18,0.173,3,3196
reason_1,risen_1,3,19,0.182,1,408
reason_1,risen_1,3,19,0.182,2,2571
reason_1,risen_1,3,19,0.182,3,3196
reason_1,risen_1,3,20,0.19,1,413
reason_1,risen_1,3,20,0.19,2,2575
reason_1,risen_1,3,20,0.19,3,3181
reason_1,risen_1,3,21,0.198,1,417
reason_1,risen_1,3,21,0.198,2,2563
reason_1,risen_1,3,21,0.198,3,3160
reason_1,risen_1,3,22,0.206,1,421
reason_1,risen_1,3,22,0.206,2,2532
reason_1,risen_1,3,22,0.206,3,3151
reason_1,risen_1,3,23,0.215,1,422
reason_1,risen_1,3,23,0.215,2,2476
reason_1,risen_1,3,23,0.215,3,3144
reason_1,risen_1,3,24,0.223,1,423
reason_1,risen_1,3,24,0.223,2,2425
reason_1,risen_1,3,24,0.223,3,3149
reason_1,risen_1,3,25,0.231,1,421
reason_1,risen_1,3,25,0.231,2,2349
reason_1,risen_1,3,25,0.231,3,3142
reason_1,risen_1,3,26,0.239,1,416
reason_1,risen_1,3,26,0.239,2,2277
reason_1,risen_1,3,26,0.239,3,3129
reason_1,risen_1,3,27,0.248,1,408
reason_1,risen_1,3,27,0.248,2,2207
reason_1,risen_1,3,27,0.248,3,3114
reason_1,risen_1,3,28,0.256,1,394
reason_1,risen_1,3,28,0.256,2,2149
reason_1,risen_1,3,28,0.256,3,3106
reason_1,risen_1,3,29,0.264,1,378
reason_1,risen_1,3,29,0.264,2,2133
reason_1,risen_1,3,29,0.264,3,3118
reason_1,risen_1,3,30,0.272,1,373
reason_1,risen_1,3,30,0.272,2,2139
reason_1,risen_1,3,30,0.272,3,3123
reason_1,risen_1,4,1,0.033,1,351
reason_1,risen_1,4,1,0.033,2,1309
reason_1,risen_1,4,1,0.033,3,2448
reason_1,risen_1,4,2,0.041,1,352
reason_1,risen_1,4,2,0.041,2,1314
reason_1,risen_1,4,2,0.041,3,2454
reason_1,risen_1,4,3,0.05,1,365
reason_1,risen_1,4,3,0.05,2,1387
reason_1,risen_1,4,3,0.05,3,2498
reason_1,risen_1,4,4,0.058,1,374
reason_1,risen_1,4,4,0.058,2,1506
reason_1,risen_1,4,4,0.058,3,2574
reason_1,risen_1,4,5,0.066,1,378
reason_1,risen_1,4,5,0.066,2,1644
reason_1,risen_1,4,5,0.066,3,2649
reason_1,risen_1,4,6,0.074,1,381
reason_1,risen_1,4,6,0.074,2,1806
reason_1,risen_1,4,6,0.074,3,2700
reason_1,risen_1,4,7,0.083,1,385
reason_1,risen_1,4,7,0.083,2,1999
reason_1,risen_1,4,7,0.083,3,2751
reason_1,risen_1,4,8,0.091,1,389
reason_1,risen_1,4,8,0.091,2,2180
reason_1,risen_1,4,8,0.091,3,2809
reason_1,risen_1,4,9,0.099,1,393
reason_1,risen_1,4,9,0.099,2,2287
reason_1,risen_1,4,9,0.099,3,2873
reason_1,risen_1,4,10,0.107,1,396
reason_1,risen_1,4,10,0.107,2,2357
reason_1,risen_1,4,10,0.107,3,2931
reason_1,risen_1,4,11,0.116,1,397
reason_1,risen_1,4,11,0.116,2,2402
reason_1,risen_1,4,11,0.116,3,2987
reason_1,risen_1,4,12,0.124,1,399
reason_1,risen_1,4,12,0.124,2,2452
reason_1,risen_1,4,12,0.124,3,3024
reason_1,risen_1,4,13,0.132,1,403
reason_1,risen_1,4,13,0.132,2,2489
reason_1,risen_1,4,13,0.132,3,3108
reason_1,risen_1,4,14,0.14,1,406
reason_1,risen_1,4,14,0.14,2,2496
reason_1,risen_1,4,14,0.14,3,3160
reason_1,risen_1,4,15,0.149,1,411
reason_1,risen_1,4,15,0.149,2,2501
