endpoint1,endpoint2,step,time_index,time,formant,frequency
reason_1,risen_1,4,15,0.149,3,3169
reason_1,risen_1,4,16,0.157,1,415
reason_1,risen_1,4,16,0.157,2,2496
reason_1,risen_1,4,16,0.157,3,3144
reason_1,risen_1,4,17,0.165,1,418
reason_1,risen_1,4,17,0.165,2,2478
reason_1,risen_1,4,17,0.165,3,3137
reason_1,risen_1,4,18,0.173,1,421
reason_1,risen_1,4,18,0.173,2,2462
reason_1,risen_1,4,18,0.173,3,3134
reason_1,risen_1,4,19,0.182,1,424
reason_1,risen_1,4,19,0.182,2,2451
reason_1,risen_1,4,19,0.182,3,3135
reason_1,risen_1,4,20,0.19,1,427
reason_1,risen_1,4,20,0.19,2,2458
reason_1,risen_1,4,20,0.19,3,3123
reason_1,risen_1,4,21,0.198,1,430
reason_1,risen_1,4,21,0.198,2,2447
reason_1,risen_1,4,21,0.198,3,3106
reason_1,risen_1,4,22,0.206,1,431
reason_1,risen_1,4,22,0.206,2,2418
reason_1,risen_1,4,22,0.206,3,3099
reason_1,risen_1,4,23,0.215,1,430
reason_1,risen_1,4,23,0.215,2,2371
reason_1,risen_1,4,23,0.215,3,3097
reason_1,risen_1,4,24,0.223,1,428
reason_1,risen_1,4,24,0.223,2,2327
reason_1,risen_1,4,24,0.223,3,3103
reason_1,risen_1,4,25,0.231,1,424
reason_1,risen_1,4,25,0.231,2,2264
reason_1,risen_1,4,25,0.231,3,3099
reason_1,risen_1,4,26,0.239,1,417
reason_1,risen_1,4,26,0.239,2,2208
reason_1,risen_1,4,26,0.239,3,3088
reason_1,risen_1,4,27,0.248,1,407
reason_1,risen_1,4,27,0.248,2,2153
reason_1,risen_1,4,27,0.248,3,3075
reason_1,risen_1,4,28,0.256,1,394
reason_1,risen_1,4,28,0.256,2,2110
reason_1,risen_1,4,28,0.256,3,3069
reason_1,risen_1,4,29,0.264,1,379
reason_1,risen_1,4,29,0.264,2,2104
reason_1,risen_1,4,29,0.264,3,3079
reason_1,risen_1,4,30,0.272,1,374
reason_1,risen_1,4,30,0.272,2,2116
reason_1,risen_1,4,30,0.272,3,3084
reason_1,risen_1,5,1,0.033,1,355
reason_1,risen_1,5,1,0.033,2,1348
reason_1,risen_1,5,1,0.033,3,2386
reason_1,risen_1,5,2,0.041,1,357
reason_1,risen_1,5,2,0.041,2,1352
reason_1,risen_1,5,2,0.041,3,2393
reason_1,risen_1,5,3,0.05,1,370
reason_1,risen_1,5,3,0.05,2,1410
reason_1,risen_1,5,3,0.05,3,2449
reason_1,risen_1,5,4,0.058,1,379
reason_1,risen_1,5,4,0.058,2,1515
reason_1,risen_1,5,4,0.058,3,2538
reason_1,risen_1,5,5,0.066,1,382
reason_1,risen_1,5,5,0.066,2,1647
reason_1,risen_1,5,5,0.066,3,2616
reason_1,risen_1,5,6,0.074,1,386
reason_1,risen_1,5,6,0.074,2,1794
reason_1,risen_1,5,6,0.074,3,2667
reason_1,risen_1,5,7,0.083,1,391
reason_1,risen_1,5,7,0.083,2,1960
reason_1,risen_1,5,7,0.083,3,2717
reason_1,risen_1,5,8,0.091,1,398
reason_1,risen_1,5,8,0.091,2,2132
reason_1,risen_1,5,8,0.091,3,2780
reason_1,risen_1,5,9,0.099,1,403
reason_1,risen_1,5,9,0.099,2,2222
reason_1,risen_1,5,9,0.099,3,2848
reason_1,risen_1,5,10,0.107,1,408
reason_1,risen_1,5,10,0.107,2,2277
reason_1,risen_1,5,10,0.107,3,2904
reason_1,risen_1,5,11,0.116,1,410
reason_1,risen_1,5,11,0.116,2,2308
reason_1,risen_1,5,11,0.116,3,2956
reason_1,risen_1,5,12,0.124,1,413
reason_1,risen_1,5,12,0.124,2,2341
reason_1,risen_1,5,12,0.124,3,2997
reason_1,risen_1,5,13,0.132,1,417
reason_1,risen_1,5,13,0.132,2,2365
reason_1,risen_1,5,13,0.132,3,3066
reason_1,risen_1,5,14,0.14,1,421
reason_1,risen_1,5,14,0.14,2,2365
reason_1,risen_1,5,14,0.14,3,3110
reason_1,risen_1,5,15,0.149,1,426
reason_1,risen_1,5,15,0.149,2,2373
reason_1,risen_1,5,15,0.149,3,3118
reason_1,risen_1,5,16,0.157,1,431
reason_1,risen_1,5,16,0.157,2,2377
reason_1,risen_1,5,16,0.157,3,3094
reason_1,risen_1,5,17,0.165,1,435
reason_1,risen_1,5,17,0.165,2,2364
reason_1,risen_1,5,17,0.165,3,3080
reason_1,risen_1,5,18,0.173,1,438
reason_1,risen_1,5,18,0.173,2,2349
reason_1,risen_1,5,18,0.173,3,3073
reason_1,risen_1,5,19,0.182,1,440
reason_1,risen_1,5,19,0.182,2,2337
reason_1,risen_1,5,19,0.182,3,3074
reason_1,risen_1,5,20,0.19,1,442
reason_1,risen_1,5,20,0.19,2,2347
reason_1,risen_1,5,20,0.19,3,3068
reason_1,risen_1,5,21,0.198,1,442
reason_1,risen_1,5,21,0.198,2,2337
reason_1,risen_1,5,21,0.198,3,3052
reason_1,risen_1,5,22,0.206,1,441
reason_1,risen_1,5,22,0.206,2,2310
reason_1,risen_1,5,22,0.206,3,3048
reason_1,risen_1,5,23,0.215,1,437
reason_1,risen_1,5,23,0.215,2,2271
reason_1,risen_1,5,23,0.215,3,3051
reason_1,risen_1,5,24,0.223,1,432
reason_1,risen_1,5,24,0.223,2,2234
reason_1,risen_1,5,24,0.223,3,3059
reason_1,risen_1,5,25,0.231,1,426
reason_1,risen_1,5,25,0.231,2,2182
reason_1,risen_1,5,25,0.231,3,3056
reason_1,risen_1,5,26,0.239,1,417
reason_1,risen_1,5,26,0.239,2,2141
reason_1,risen_1,5,26,0.239,3,3048
reason_1,risen_1,5,27,0.248,1,406
reason_1,risen_1,5,27,0.248,2,2100
reason_1,risen_1,5,27,0.248,3,3037
reason_1,risen_1,5,28,0.256,1,394
reason_1,risen_1,5,28,0.256,2,2072
reason_1,risen_1,5,28,0.256,3,3033
reason_1,risen_1,5,29,0.264,1,381
reason_1,risen_1,5,29,0.264,2,2075
reason_1,risen_1,5,29,0.264,3,3041
reason_1,risen_1,5,30,0.272,1,375
reason_1,risen_1,5,30,0.272,2,2093
reason_1,risen_1,5,30,0.272,3,3047
reason_1,risen_1,6,1,0.033,1,358
reason_1,risen_1,6,1,0.033,2,1388
reason_1,risen_1,6,1,0.033,3,2326
reason_1,risen_1,6,2,0.041,1,361
reason_1,risen_1,6,2,0.041,2,1391
reason_1,risen_1,6,2,0.041,3,2334
reason_1,risen_1,6,3,0.05,1,375
reason_1,risen_1,6,3,0.05,2,1432
reason_1,risen_1,6,3,0.05,3,2400
reason_1,risen_1,6,4,0.058,1,383
reason_1,risen_1,6,4,0.058,2,1524
reason_1,risen_1,6,4,0.058,3,2503
reason_1,risen_1,6,5,0.066,1,387
reason_1,risen_1,6,5,0.066,2,1649
reason_1,risen_1,6,5,0.066,3,2584
reason_1,risen_1,6,6,0.074,1,391
reason_1,risen_1,6,6,0.074,2,1781
reason_1,risen_1,6,6,0.074,3,2635
reason_1,risen_1,6,7,0.083,1,397
reason_1,risen_1,6,7,0.083,2,1923
reason_1,risen_1,6,7,0.083,3,2684
reason_1,risen_1,6,8,0.091,1,406
reason_1,risen_1,6,8,0.091,2,2085
reason_1,risen_1,6,8,0.091,3,2752
reason_1,risen_1,6,9,0.099,1,414
reason_1,risen_1,6,9,0.099,2,2159
reason_1,risen_1,6,9,0.099,3,2823
reason_1,risen_1,6,10,0.107,1,420
reason_1,risen_1,6,10,0.107,2,2200
reason_1,risen_1,6,10,0.107,3,2876
reason_1,risen_1,6,11,0.116,1,423
reason_1,risen_1,6,11,0.116,2,2218
reason_1,risen_1,6,11,0.116,3,2926
reason_1,risen_1,6,12,0.124,1,427
reason_1,risen_1,6,12,0.124,2,2235
reason_1,risen_1,6,12,0.124,3,2969
reason_1,risen_1,6,13,0.132,1,431
reason_1,risen_1,6,13,0.132,2,2247
reason_1,risen_1,6,13,0.132,3,3024
reason_1,risen_1,6,14,0.14,1,437
reason_1,risen_1,6,14,0.14,2,2242
reason_1,risen_1,6,14,0.14,3,3060
reason_1,risen_1,6,15,0.149,1,443
reason_1,risen_1,6,15,0.149,2,2253
reason_1,risen_1,6,15,0.149,3,3068
reason_1,risen_1,6,16,0.157,1,448
reason_1,risen_1,6,16,0.157,2,2263
reason_1,risen_1,6,16,0.157,3,3045
reason_1,risen_1,6,17,0.165,1,452
reason_1,risen_1,6,17,0.165,2,2256
reason_1,risen_1,6,17,0.165,3,3024
reason_1,risen_1,6,18,0.173,1,455
reason_1,risen_1,6,18,0.173,2,2242
reason_1,risen_1,6,18,0.173,3,3014
reason_1,risen_1,6,19,0.182,1,456
reason_1,risen_1,6,19,0.182,2,2229
reason_1,risen_1,6,19,0.182,3,3016
reason_1,risen_1,6,20,0.19,1,456
reason_1,risen_1,6,20,0.19,2,2241
reason_1,risen_1,6,20,0.19,3,3013
reason_1,risen_1,6,21,0.198,1,455
reason_1,risen_1,6,21,0.198,2,2232
reason_1,risen_1,6,21,0.198,3,3000
reason_1,risen_1,6,22,0.206,1,451
reason_1,risen_1,6,22,0.206,2,2207
reason_1,risen_1,6,22,0.206,3,2999
reason_1,risen_1,6,23,0.215,1,444
reason_1,risen_1,6,23,0.215,2,2176
reason_1,risen_1,6,23,0.215,3,3006
reason_1,risen_1,6,24,0.223,1,437
reason_1,risen_1,6,24,0.223,2,2145
reason_1,risen_1,6,24,0.223,3,3015
reason_1,risen_1,6,25,0.231,1,428
reason_1,risen_1,6,25,0.231,2,2103
reason_1,risen_1,6,25,0.231,3,3015
reason_1,risen_1,6,26,0.239,1,418
reason_1,risen_1,6,26,0.239,2,2076
reason_1,risen_1,6,26,0.239,3,3008
reason_1,risen_1,6,27,0.248,1,406
reason_1,risen_1,6,27,0.248,2,2049
reason_1,risen_1,6,27,0.248,3,2999
reason_1,risen_1,6,28,0.256,1,393
reason_1,risen_1,6,28,0.256,2,2035
reason_1,risen_1,6,28,0.256,3,2997
reason_1,risen_1,6,29,0.264,1,382
reason_1,risen_1,6,29,0.264,2,2047
reason_1,risen_1,6,29,0.264,3,3004
reason_1,risen_1,6,30,0.272,1,376
reason_1,risen_1,6,30,0.272,2,2070
reason_1,risen_1,6,30,0.272,3,3010
reason_1,risen_1,7,1,0.033,1,362
reason_1,risen_1,7,1,0.033,2,1429
reason_1,risen_1,7,1,0.033,3,2267
reason_1,risen_1,7,2,0.041,1,365
reason_1,risen_1,7,2,0.041,2,1431
reason_1,risen_1,7,2,0.041,3,2277
reason_1,risen_1,7,3,0.05,1,380
reason_1,risen_1,7,3,0.05,2,1456
reason_1,risen_1,7,3,0.05,3,2353
reason_1,risen_1,7,4,0.058,1,388
reason_1,risen_1,7,4,0.058,2,1533
reason_1,risen_1,7,4,0.058,3,2469
reason_1,risen_1,7,5,0.066,1,391
reason_1,risen_1,7,5,0.066,2,1651
reason_1,risen_1,7,5,0.066,3,2553
reason_1,risen_1,7,6,0.074,1,396
reason_1,risen_1,7,6,0.074,2,1769
reason_1,risen_1,7,6,0.074,3,2603
reason_1,risen_1,7,7,0.083,1,404
reason_1,risen_1,7,7,0.083,2,1887
reason_1,risen_1,7,7,0.083,3,2651
reason_1,risen_1,7,8,0.091,1,415
reason_1,risen_1,7,8,0.091,2,2038
reason_1,risen_1,7,8,0.091,3,2724
reason_1,risen_1,7,9,0.099,1,424
reason_1,risen_1,7,9,0.099,2,2099
reason_1,risen_1,7,9,0.099,3,2799
reason_1,risen_1,7,10,0.107,1,431
reason_1,risen_1,7,10,0.107,2,2125
reason_1,risen_1,7,10,0.107,3,2849
reason_1,risen_1,7,11,0.116,1,436
reason_1,risen_1,7,11,0.116,2,2132
reason_1,risen_1,7,11,0.116,3,2895
reason_1,risen_1,7,12,0.124,1,441
reason_1,risen_1,7,12,0.124,2,2135
reason_1,risen_1,7,12,0.124,3,2942
reason_1,risen_1,7,13,0.132,1,446
reason_1,risen_1,7,13,0.132,2,2136
reason_1,risen_1,7,13,0.132,3,2983
reason_1,risen_1,7,14,0.14,1,452
reason_1,risen_1,7,14,0.14,2,2126
reason_1,risen_1,7,14,0.14,3,3011
reason_1,risen_1,7,15,0.149,1,459
reason_1,risen_1,7,15,0.149,2,2139
reason_1,risen_1,7,15,0.149,3,3019
reason_1,risen_1,7,16,0.157,1,466
reason_1,risen_1,7,16,0.157,2,2156
reason_1,risen_1,7,16,0.157,3,2997
reason_1,risen_1,7,17,0.165,1,470
reason_1,risen_1,7,17,0.165,2,2153
reason_1,risen_1,7,17,0.165,3,2969
reason_1,risen_1,7,18,0.173,1,472
reason_1,risen_1,7,18,0.173,2,2140
reason_1,risen_1,7,18,0.173,3,2956
reason_1,risen_1,7,19,0.182,1,472
reason_1,risen_1,7,19,0.182,2,2126
reason_1,risen_1,7,19,0.182,3,2958
reason_1,risen_1,7,20,0.19,1,471
reason_1,risen_1,7,20,0.19,2,2141
reason_1,risen_1,7,20,0.19,3,2960
reason_1,risen_1,7,21,0.198,1,468
reason_1,risen_1,7,21,0.198,2,2132
reason_1,risen_1,7,21,0.198,3,2948
reason_1,risen_1,7,22,0.206,1,461
reason_1,risen_1,7,22,0.206,2,2109
reason_1,risen_1,7,22,0.206,3,2950
reason_1,risen_1,7,23,0.215,1,452
reason_1,risen_1,7,23,0.215,2,2085
reason_1,risen_1,7,23,0.215,3,2962
reason_1,risen_1,7,24,0.223,1,441
reason_1,risen_1,7,24,0.223,2,2059
reason_1,risen_1,7,24,0.223,3,2971
reason_1,risen_1,7,25,0.231,1,431
reason_1,risen_1,7,25,0.231,2,2027
reason_1,risen_1,7,25,0.231,3,2974
reason_1,risen_1,7,26,0.239,1,418
reason_1,risen_1,7,26,0.239,2,2013
reason_1,risen_1,7,26,0.239,3,2969
reason_1,risen_1,7,27,0.248,1,405
reason_1,risen_1,7,27,0.248,2,1999
reason_1,risen_1,7,27,0.248,3,2962
reason_1,risen_1,7,28,0.256,1,393
reason_1,risen_1,7,28,0.256,2,1999
reason_1,risen_1,7,28,0.256,3,2962
reason_1,risen_1,7,29,0.264,1,383
reason_1,risen_1,7,29,0.264,2,2019
reason_1,risen_1,7,29,0.264,3,2967
reason_1,risen_1,7,30,0.272,1,377
reason_1,risen_1,7,30,0.272,2,2047
reason_1,risen_1,7,30,0.272,3,2974
