sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.078,296.9,275.8,296.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.088,306.2,280.8,306.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.098,315.3,285.9,315.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.108,324.2,290.3,324.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.118,330.6,294.2,330.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.128,335.6,298,335.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.138,339.3,301.6,339.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.148,340.8,303.3,340.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.158,342,304.4,342,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.168,342.8,304.9,342.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.178,343.3,306.5,343.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.188,343.7,308.3,343.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.198,344,310.2,344,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.208,343.9,311.4,343.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.218,343,312.4,343,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.228,341.4,313.1,341.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.238,335.3,313.9,335.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.248,326.9,314.4,326.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.258,316.3,314.5,316.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.268,303.4,314.8,303.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.278,289.5,314.8,289.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.288,274.7,314.6,274.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.298,258,314.3,258,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.308,243.2,313.9,243.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.318,230.1,313.5,230.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.328,219.6,312.7,219.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.338,210.4,312,210.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.348,202.5,311.4,202.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.358,197.6,310.7,197.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.368,192,310,192,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.378,185.6,309.2,185.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.388,179.5,308.1,179.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.398,174.2,305.9,174.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.408,169.7,302.1,169.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.448,152.9,225.7,152.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.458,152.1,216.6,152.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.468,150.5,209.6,150.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.478,146.1,196.9,146.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,5,0.488,141.6,182.5,141.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.078,296.9,275.8,291.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.088,306.2,280.8,299.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.098,315.3,285.9,307.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.108,324.2,290.3,315.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.118,330.6,294.2,321.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.128,335.6,298,325.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.138,339.3,301.6,329.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.148,340.8,303.3,331,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.158,342,304.4,332.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.168,342.8,304.9,332.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.178,343.3,306.5,333.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.188,343.7,308.3,334.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.198,344,310.2,335.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.208,343.9,311.4,335.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.218,343,312.4,335.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.228,341.4,313.1,334.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.238,335.3,313.9,329.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.248,326.9,314.4,323.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.258,316.3,314.5,315.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.268,303.4,314.8,306.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.278,289.5,314.8,295.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.288,274.7,314.6,284.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.298,258,314.3,271.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.308,243.2,313.9,259.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.318,230.1,313.5,248.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.328,219.6,312.7,239.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.338,210.4,312,232.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.348,202.5,311.4,225.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.358,197.6,310.7,221.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.368,192,310,216.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.378,185.6,309.2,210.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.388,179.5,308.1,205.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.398,174.2,305.9,200.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.408,169.7,302.1,196,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.448,152.9,225.7,168.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.458,152.1,216.6,166.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.468,150.5,209.6,163.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.478,146.1,196.9,157.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,4,0.488,141.6,182.5,150.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.078,296.9,275.8,286.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.088,306.2,280.8,293.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.098,315.3,285.9,300.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.108,324.2,290.3,306.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.118,330.6,294.2,311.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.128,335.6,298,316.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.138,339.3,301.6,319.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.148,340.8,303.3,321.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.158,342,304.4,322.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.168,342.8,304.9,323.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.178,343.3,306.5,324.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.188,343.7,308.3,325.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.198,344,310.2,326.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.208,343.9,311.4,327.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.218,343,312.4,327.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.228,341.4,313.1,326.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.238,335.3,313.9,324.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.248,326.9,314.4,320.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.258,316.3,314.5,315.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.268,303.4,314.8,309,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.278,289.5,314.8,301.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.288,274.7,314.6,294,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.298,258,314.3,284.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.308,243.2,313.9,276.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.318,230.1,313.5,268.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.328,219.6,312.7,262,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.338,210.4,312,256.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.348,202.5,311.4,251.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.358,197.6,310.7,247.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.368,192,310,243.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.378,185.6,309.2,239.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.388,179.5,308.1,235.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.398,174.2,305.9,230.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.408,169.7,302.1,226.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.448,152.9,225.7,185.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.458,152.1,216.6,181.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.468,150.5,209.6,177.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.478,146.1,196.9,169.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,3,0.488,141.6,182.5,160.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.078,296.9,275.8,280.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.088,306.2,280.8,286.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.098,315.3,285.9,293,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.108,324.2,290.3,298.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.118,330.6,294.2,302.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.128,335.6,298,307,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.138,339.3,301.6,310.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.148,340.8,303.3,312.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.158,342,304.4,313.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.168,342.8,304.9,314,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.178,343.3,306.5,315.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.188,343.7,308.3,316.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.198,344,310.2,318.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.208,343.9,311.4,319.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.218,343,312.4,319.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.228,341.4,313.1,319.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.238,335.3,313.9,319.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.248,326.9,314.4,317.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.258,316.3,314.5,315,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.268,303.4,314.8,311.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.278,289.5,314.8,308.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.288,274.7,314.6,304.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.298,258,314.3,299.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.308,243.2,313.9,294.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.318,230.1,313.5,290.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.328,219.6,312.7,286.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.338,210.4,312,282.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.348,202.5,311.4,279.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.358,197.6,310.7,277.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.368,192,310,275,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.378,185.6,309.2,272.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.388,179.5,308.1,269.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.398,174.2,305.9,265.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.408,169.7,302.1,261.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.448,152.9,225.7,204.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.458,152.1,216.6,198.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.468,150.5,209.6,192.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.478,146.1,196.9,182.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.488,141.6,182.5,171.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.078,296.9,275.8,275.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.088,306.2,280.8,280.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.098,315.3,285.9,285.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.108,324.2,290.3,290.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.118,330.6,294.2,294.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.128,335.6,298,298,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.138,339.3,301.6,301.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.148,340.8,303.3,303.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.158,342,304.4,304.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.168,342.8,304.9,304.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.178,343.3,306.5,306.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.188,343.7,308.3,308.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.198,344,310.2,310.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.208,343.9,311.4,311.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.218,343,312.4,312.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.228,341.4,313.1,313.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.238,335.3,313.9,313.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.248,326.9,314.4,314.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.258,316.3,314.5,314.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.268,303.4,314.8,314.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.278,289.5,314.8,314.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.288,274.7,314.6,314.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.298,258,314.3,314.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.308,243.2,313.9,313.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.318,230.1,313.5,313.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.328,219.6,312.7,312.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.338,210.4,312,312,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.348,202.5,311.4,311.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.358,197.6,310.7,310.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.368,192,310,310,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.378,185.6,309.2,309.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.388,179.5,308.1,308.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.398,174.2,305.9,305.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.408,169.7,302.1,302.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.448,152.9,225.7,225.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.458,152.1,216.6,216.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.468,150.5,209.6,209.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.478,146.1,196.9,196.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.488,141.6,182.5,182.5,log
