"ID","exp_group","age","gender","context_hours_watching","passive_watching_lang1","passive_watching_lang1_hours","passive_watching_lang2","passive_watching_lang2_hours","passive_watching_lang3","passive_watching_lang3_hours","passive_watching_lang4","passive_watching_lang4_hours","context_hours_listening","passive_listening_lang1","passive_listening_lang1_hours","passive_listening_lang2","passive_listening_lang2_hours","passive_listening_lang3","passive_listening_lang3_hours","passive_listening_lang4","passive_listening_lang4_hours","context_hours_games","passive_games_lang1","passive_games_lang1_hours","passive_games_lang2","passive_games_lang2_hours","passive_games_lang3","passive_games_lang3_hours","passive_games_lang4","passive_games_lang4_hours","context_hours_internet","passive_internet_lang1","passive_internet_lang1_hours","passive_internet_lang2","passive_internet_lang2_hours","passive_internet_lang3","passive_internet_lang3_hours","passive_internet_lang4","passive_internet_lang4_hours","context_hours_home","passive_home_lang1","passive_home_lang1_hours","passive_home_lang2","passive_home_lang2_hours","passive_home_lang3","passive_home_lang3_hours","passive_home_lang4","passive_home_lang4_hours","context_hours_family","passive_family_lang1","passive_family_lang1_hours","passive_family_lang2","passive_family_lang2_hours","passive_family_lang3","passive_family_lang3_hours","passive_family_lang4","passive_family_lang4_hours","context_hours_social","passive_social_lang1","passive_social_lang1_hours","passive_social_lang2","passive_social_lang2_hours","passive_social_lang3","passive_social_lang3_hours","passive_social_lang4","passive_social_lang4_hours","context_hours_work_school","passive_work_school_lang1","passive_work_school_lang1_hours","passive_work_school_lang2","passive_work_school_lang2_hours","passive_work_school_lang3","passive_work_school_lang3_hours","passive_work_school_lang4","passive_work_school_lang4_hours","context_hours_out_of_home","passive_out_of_home_lang1","passive_out_of_home_lang1_hours","passive_out_of_home_lang2","passive_out_of_home_lang2_hours","passive_out_of_home_lang3","passive_out_of_home_lang3_hours","passive_out_of_home_lang4","passive_out_of_home_lang4_hours","context_hours_other","context_hours_other_please_specify","passive_other_lang1","passive_other_lang1_hours","passive_other_lang2","passive_other_lang2_hours","passive_other_lang3","passive_other_lang3_hours","passive_other_lang4","passive_other_lang4_hours","hours_awake_question_15","other_info_part_2_question_16"
"2","Control",32,"Female",3,"English",3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"Chinese",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"3","Control",20,"Female",2,"English",1,"Japanese",1,"Spanish",0,"Korean",0,2,"Korean",1,"English",0.333,"Japanese",0.333,"Spanish",0.333,1,"English",1,"Japanese",0,"Spanish",0,"Korean",0,2,"English",1.5,"Japanese",0.5,"Spanish",0,"Korean",0,10,"English",10,"Japanese",0,"Spanish",0,"Korean",0,10,"English",10,"Japanese",0,"Spanish",0,"Korean",0,3,"English",2.5,"Japanese",0.5,"Spanish",0,"Korean",0,8,"English",7,"Japanese",1,"Spanish",0,"Korean",0,2,"English",1.5,"Japanese",0,"Spanish",0.5,"Korean",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"4","High LD",20,"Male",6,"English",5,"Japanese",1,NA,NA,NA,NA,6,"English",5,"Japanese",1,NA,NA,NA,NA,4,"English",4,"Japanese",4,NA,NA,NA,NA,4,"Enlgish",3,"Japanese",1,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,12,"English",11,"Japanese",1,NA,NA,NA,NA,7,"English",5,"Japanese",2,NA,NA,NA,NA,5,"English",4,"Japanese",1,NA,NA,NA,NA,0,"I live in a fraternity with many other people, so a lot of the times I am at home or with them in social contexts. Otherwise, I'm on campus in class or the library, at work, or other home with my family!",NA,NA,NA,NA,NA,NA,NA,NA,18,NA
"6","Low LD",20,"Female",2,"Japanese",2,NA,NA,NA,NA,NA,NA,2,"English",1.95,"Japanese",0.05,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",2,"Korean",0.5,"Portuguese",0.5,NA,NA,12,"English",10,"Spanish",2,NA,NA,NA,NA,4,"Spanish",2,"English",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Japanese",1.5,"English",1.5,NA,NA,NA,NA,1,"Mandarin",0.5,"English",0.5,NA,NA,NA,NA,0,"I mostly stay in my room.","English",0,NA,NA,NA,NA,NA,NA,10,"I use english in my day to day life. I speak Spanish with my family which consists of my parents and also my grandparents. My boyfriend speaks Spanish and Portuguese to his parents so I am also exposed to that when I am around him because he calls his parents everyday."
"7","Control",21,"Male",1.5,"English",1,"Japanese",0.5,NA,NA,NA,NA,1.5,"English",1,"Japanese",0.25,"Spanish",0.25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",0.9,"Japanese",0.1,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",4,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"8","Low LD",21,"Female",1,"English",0.5,"Korean",0.4,"Chinese",0.1,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,1,"Chinese",1,NA,NA,NA,NA,NA,NA,5,"English",1,NA,NA,NA,NA,NA,NA,5.5,"English",3,"Japanese",1.5,"Chinese",1,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"10","High LD",22,"Male",1,"English",1,"Japanese",1,NA,NA,NA,NA,1,"Japanese",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,12,"English",12,NA,NA,NA,NA,NA,NA,3,"Mandarin Chinese",3,"English",3,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,5,"English",4,"Japanese",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"11","High LD",19,"Female",3,"English",2,"Japanese",1,NA,NA,NA,NA,5,"English",4,"Japanese",1,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,2,"English",0.5,"Thai",1.5,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,6,"English",5,"Japanese",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"13","High LD",18,"Female",1.5,"English",1.3,"Japanese",0.2,NA,NA,NA,NA,5,"English",3.5,"Japanese",1.5,"Korean",0.5,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,15,"Listed 0 for home/family since I'm in university and live alone. I spend ~15 hours per day not around other people.",NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"14","Control",19,"Male",2,"English",1,"Japanese",1,NA,NA,NA,NA,3,"English",2,"Japanese",1,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,3,"English",2.25,"Japanese",0.5,"German",0.25,NA,NA,10,"English",8,"Japanese",1,"German",1,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,4,"English",3,"Japanese",1,NA,NA,NA,NA,4,"Japanese",2,"English",2,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"15","Low LD",20,"Female",1,"English",1,NA,NA,NA,NA,NA,NA,2,"Korean",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,"English",2,"Japanese",1,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"17","High LD",22,"Male",12,"cantonese",0,"japanese",2,"mandarin",0,"English",10,10,"cantonese",0,"Japanese",7,"mandarin",0,"english",3,2,"English",2,"Japanese",2,"mandarin",0,"cantonese",0,10,"english",9,"japanese",1,"cantonese",0,"mandarin",0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"cantonese",3,"mandarin",0,"english",1,"japanese",0,0,"english",1,"mandarin",0,"japanese",0,"cantonese",0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,"english",1,"mandarin",0,"cantonese",0,"japanese",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dont work, live with parents,"
"18","Low LD",25,"Trans Male",4,"English",4,"Japanese",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,6,"English",6,"Japanese",1,NA,NA,NA,NA,2,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",2,"Japanese",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"19","Low LD",21,"Female",3,"English",1.5,"Japanese",1.5,NA,NA,NA,NA,1,"English",0,"Japanese",1,NA,NA,NA,NA,1,"English",1,"Japanese",0,NA,NA,NA,NA,3,"English",2,"Japanese",1,NA,NA,NA,NA,5,"English",5,"Japanese",0,NA,NA,NA,NA,0,"English",0,"Japanese",0,NA,NA,NA,NA,0,"English",0,"Japanese",0,NA,NA,NA,NA,6,"English",5,"Japanese",1,NA,NA,NA,NA,1,"English",1,"Japanese",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"20","Control",19,"Male",3,"English",2,"Japanese",1,NA,NA,NA,NA,3,"English",2,"Japanese",1,NA,NA,NA,NA,2,"English",1,"Japanese",1,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",1,NA,NA,NA,NA,NA,NA,2,"English",1,"Japanese",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"21","Control",25,"Female",2,"Ukrainian",0.9,"English",0.75,"Japanese",0.25,"Russian",0.1,0.5,"English",0.25,"Ukrainian",0.2,"Japanese",0.05,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",0.7,"Japanese",0.2,"Ukrainian",0.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ukrainian",1,NA,NA,NA,NA,NA,NA,2,"English",1.3,"Japanese",0.7,NA,NA,NA,NA,5,"English",2,"Japanese",3,NA,NA,NA,NA,0.5,"English",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"23","High LD",18,"Female",3,"English",2,"Japanese",1,NA,NA,NA,NA,3,"English",2,"Japanese",0.5,"French",0.25,"Korean",0.25,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,7,"English",6,"Japanese",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,5,"Alone, doing work or relaxing","English",5,NA,NA,NA,NA,NA,NA,17,"I don't use languages other than English often. Sometimes I attempt to speak with friends, but our shared language is English."
"24","High LD",25,"Male",4,"Chinese",3,"English",1,"Japanese",0,NA,NA,1,"Japanese",1,NA,NA,NA,NA,NA,NA,1,"Chinese",1,NA,NA,NA,NA,NA,NA,2,"Chinese",1,"English",1,NA,NA,NA,NA,12,"Chinese",12,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,"English",2,"Chinese",8,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
